Tree;latitude;longitude
1;-6.140707;-50.422957
2;-6.140655;-50.422728
3;-6.028056;-50.591968
4;-6.019162;-50.600015
5;-6.01789;-50.60088
6;-6.01173;-50.605639
7;-6.002564;-50.613369
8;-5.991232;-50.614795
9;-5.986842;-50.617545
10;-5.986742;-50.618419
11;-5.985758;-50.618995
12;-5.982572;-50.622039
13;-6.034196;-50.580263
14;-6.053837;-50.55653
15;-6.066291;-50.544546
16;-6.143001;-50.435318
17;-6.144247;-50.420869
18;-5.995722;-50.615708
19;-6.075418;-50.227128
20;-6.048994;-50.081587
21;-6.048702;-50.081888
22;-6.048369;-50.081033
23;-6.045221;-50.084258
24;-6.042596;-50.087219
25;-6.041037;-50.08722
26;-6.041002;-50.087212
27;-6.040928;-50.087225
28;-6.040965;-50.087344
29;-6.04182;-50.088033
30;-6.042171;-50.08827
31;-6.059602;-50.244894
32;-6.059236;-50.244422
33;-6.059091;-50.244314
34;-6.05898;-50.244098
35;-6.05936;-50.244006
36;-6.059614;-50.244101
37;-6.059554;-50.243917
38;-6.059342;-50.243269
39;-6.059406;-50.242598
40;-6.05384;-50.257389
41;-6.051603;-50.281082
42;-6.051718;-50.280917
43;-6.051435;-50.280542
44;-6.051604;-50.280552
45;-6.051678;-50.280454
46;-6.051417;-50.280294
47;-6.051056;-50.280471
48;-6.051097;-50.280505
49;-6.077413;-50.227119
50;-6.077306;-50.227253
51;-6.077414;-50.227226
52;-6.07737;-50.227189
53;-6.076739;-50.228042
54;-6.076535;-50.228295
55;-6.075659;-50.228611
56;-6.075666;-50.228711
57;-6.075436;-50.228574
58;-6.07543;-50.228392
59;-6.075653;-50.228377
60;-6.036163;-50.109088
61;-6.039505;-50.117731
62;-6.075576;-50.227942
63;-6.075463;-50.228089
64;-6.075441;-50.228038
65;-6.075518;-50.227692
66;-6.075552;-50.227329
67;-6.075431;-50.227417
68;-6.075411;-50.227383
69;-6.075363;-50.227154
70;-6.075355;-50.227008
71;-6.075192;-50.226894
72;-6.075073;-50.226891
73;-6.074955;-50.22699
74;-6.074933;-50.227276
75;-6.07483;-50.227283
76;-6.075013;-50.227879
77;-6.075086;-50.227947
78;-6.075468;-50.228147
79;-6.077147;-50.228733
80;-6.07804;-50.229024
81;-6.078046;-50.229195
82;-6.078074;-50.229162
83;-6.078266;-50.229156
84;-6.078259;-50.22919
85;-6.079506;-50.227968
86;-6.039814;-50.087785
87;-6.042019;-50.088967
88;-6.041967;-50.089275
89;-6.078731;-50.226524
90;-6.201938;-49.976243
91;-6.20119;-49.980511
92;-6.201306;-49.98067
93;-6.198679;-49.98465
94;-6.199063;-49.985586
95;-6.199641;-49.986583
96;-6.19933;-49.986673
97;-6.19929;-49.986679
98;-6.199734;-49.986823
99;-6.19993;-49.986817
100;-6.199987;-49.987255
101;-6.199956;-49.98737
102;-6.20022;-49.987352
103;-6.200245;-49.987559
104;-6.200426;-49.987684
105;-6.20084;-49.987757
106;-6.199066;-49.988441
107;-6.198971;-49.988525
108;-6.198717;-49.988854
109;-6.198826;-49.989132
110;-6.199175;-49.989312
111;-6.199166;-49.989219
112;-6.199079;-49.989464
113;-6.199075;-49.989552
114;-6.199294;-49.989573
115;-6.199365;-49.989513
116;-6.198858;-49.990158
117;-6.1988;-49.990322
118;-6.19938;-49.99031
119;-6.199217;-49.990414
120;-6.199123;-49.99156
121;-6.198467;-49.990511
122;-6.198553;-49.990332
123;-6.198489;-49.990004
124;-6.198526;-49.98997
125;-6.198542;-49.989902
126;-6.198409;-49.989683
127;-6.198592;-49.98876
128;-6.199495;-49.98574
